stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
0,380,0,2898475.78,1,0.999646,18159290.62,,,0.999451,21077.92,1.0016,61524.0,1.0,3.5202503,20900,380_0_0
1,380,0,0.0,0,0.999823,1364957.55,,,0.999823,2977.2,1.00345,58100.0,1.0,-4.6902895,20900,380_0_1
2,380,0,25842.6,1,0.999671,3158267.01,,,0.999618,63544.72,1.000042,6979.68,1.0,-7.3599815,20900,380_0_2
3,380,0,767339.45,1,0.999972,42107778.02,,,0.999729,47009.12,1.000118,20536.0,1.0,-13.440251,20900,380_0_3
4,380,0,1327667.0,-1,0.999886,19638194.8,,,0.999716,8807.5,1.000284,8812.5,1.0,-5.699992,20900,380_0_4
5,380,0,0.0,0,1.000157,1752449.42,,,0.999898,3861.5,1.000416,15840.35,1.0,7.9500675,20900,380_0_5
6,380,0,0.0,0,0.999898,3836798.82,,,0.999796,9787.75,1.000817,39191.0,1.0,9.950399,20900,380_0_6
7,380,0,74121.45,1,1.000267,67041514.73,,,0.999048,13318.5,1.000267,3733.73,1.0,-12.130141,20900,380_0_7
8,380,0,4255196.87,1,0.999777,34843135.27,,,0.998285,246971.0,1.000343,49496.0,1.0,11.559725,20900,380_0_8
9,380,0,1236389.74,1,0.999791,3885875.85,,,0.999468,22064.98,1.000007,278.28,1.0,1.219511,20900,380_0_9
10,380,0,0.0,0,0.999833,5172304.9,,,0.9995,18216.36,1.000165,6016.0,1.0,-3.849864,20900,380_0_10
11,380,0,5498115.88,1,0.99944,5065267.56,,,0.9993,3566.5,1.001401,7148.0,1.0,1.9097328,20900,380_0_11
12,380,0,11912830.53,1,1.000121,40207053.99,,,0.999712,21961.8,1.00049,37364.13,1.0,-4.619956,20900,380_0_12
13,380,0,3441135.5,-1,0.999424,20533716.31,,,0.99897,23432.13,1.000242,5507.5,1.0,-4.2301416,20900,380_0_13
14,380,0,20343224.66,1,1.000132,74437036.83,,,0.999324,38351.0,1.000601,34176.0,1.0,-7.299781,20900,380_0_14
15,380,0,7880180.62,1,1.000009,13594207.74,,,0.999842,17980.5,1.000843,95992.0,1.0,-7.15971,20900,380_0_15
16,380,0,0.0,0,1.000136,2441979.41,,,0.999137,329.98,1.000863,330.55,1.0,11.16991,20900,380_0_16
17,380,0,28664038.41,1,0.999122,56612732.49,,,0.999218,83018.0,1.000903,96047.49,1.0,-6.170273,20900,380_0_17
18,380,0,758119.45,1,0.999784,3367518.18,,,0.999784,6166.0,1.000108,3084.0,1.0,-15.249848,20900,380_0_18
19,380,0,276074.15,1,1.000614,4302926.11,,,0.999524,8361.9,1.001341,23588.15,1.0,2.4700165,20900,380_0_19
20,380,0,3381767.36,1,0.999654,7871201.26,,,0.999501,267469.5,1.000054,28860.7,1.0,-7.3999166,20900,380_0_20
21,380,0,518475.29,1,0.999959,7317152.78,,,0.999797,12326.0,1.000283,17203.14,1.0,9.62019,20900,380_0_21
22,380,0,4364615.42,-1,0.999901,52205026.49,,,0.999433,42885.86,1.000018,1367.68,1.0,1.540184,20900,380_0_22
23,380,0,617764.92,-1,1.000059,31631187.12,,,0.999978,368.88,1.000547,8981.19,1.0,-4.2897463,20900,380_0_23
24,380,0,2320721.08,1,1.000079,2208452.28,,,0.999965,2379.24,1.001327,90710.72,1.0,-4.3201447,20900,380_0_24
25,380,0,267912.91,1,0.999714,4850501.6,,,0.999451,12544.4,1.000065,1483.43,1.0,-1.3101101,20900,380_0_25
26,380,0,782740.89,1,0.999654,5503499.38,,,0.999654,87581.25,1.000296,75157.92,1.0,4.9495697,20900,380_0_26
27,380,0,824516.41,-1,0.999599,17247774.62,,,0.999231,8037.88,1.000519,5438.0,1.0,5.489588,20900,380_0_27
28,380,0,0.0,0,0.99959,11530196.91,,,0.99966,21477.0,1.000009,572.92,1.0,-1.4799833,20900,380_0_28
29,380,0,1329233.56,-1,0.999797,26536539.71,,,0.999722,1603.94,1.000695,4013.75,1.0,1.4698505,20900,380_0_29
30,380,0,557333.14,1,0.999909,3035131.54,,,0.999909,10718.0,1.000096,11256.0,1.0,5.4204464,20900,380_0_30
31,380,0,136557.04,1,0.998154,216311.05,,,0.998154,28730.0,1.001993,31147.74,1.0,37.460327,20900,380_0_31
32,380,0,16884134.77,-1,1.001584,6332179.73,,,0.9992,58610.44,1.001584,116223.38,1.0,5.1796436,20900,380_0_32
33,380,0,1261963.06,1,1.000055,2975401.17,,,0.998809,85497.75,1.000055,3973.2,1.0,20.569563,20900,380_0_33
34,380,0,7427025.12,1,0.999846,39903191.08,,,0.999652,20051.46,1.000054,3086.08,1.0,-12.289882,20900,380_0_34
35,380,0,7667161.9,1,0.999402,11760144.37,,,0.999839,18268.8,1.000803,91432.0,1.0,-3.489852,20900,380_0_35
36,380,0,831699.46,1,0.999727,11258657.12,,,0.999461,13693.68,1.000059,1505.7,1.0,-2.4801493,20900,380_0_36
37,380,0,7830894.24,1,0.999469,32951742.27,,,0.999469,5669.25,1.000042,453.8,1.0,-1.1199713,20900,380_0_37
38,380,0,4326387.84,1,0.999251,21660902.96,,,0.999516,20355.3,1.000179,7544.0,1.0,-5.9598684,20900,380_0_38
39,380,0,2172333.41,-1,0.999906,14549983.57,,,0.999794,1771.16,1.000516,4431.1,1.0,5.609989,20900,380_0_39
40,380,0,1681650.88,-1,1.000162,2576730.23,,,0.997713,58860.7,1.000252,6507.7,1.0,-8.100271,20900,380_0_40
41,380,0,11088320.72,1,1.000009,279132153.53,,,0.999964,5539.75,1.000144,22163.0,1.0,-12.33995,20900,380_0_41
42,380,0,516598.22,-1,1.000095,2556158.68,,,0.999959,589.7,1.001078,15644.54,1.0,8.729696,20900,380_0_42
43,380,0,1644448.52,1,1.000455,2335345.92,,,0.99952,5813.76,1.00084,10187.52,1.0,-14.640093,20900,380_0_43
44,380,0,5832051.57,1,0.99954,12719653.92,,,0.99954,1779.2,1.000046,178.01,1.0,-6.1398745,20900,380_0_44
45,380,0,72955584.08,-1,1.000259,601428170.62,,,0.99996,43937.24,1.000072,80382.0,1.0,-1.4299154,20900,380_0_45
