stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id,imb_s1,imb_s2,reference_price_far_price_diff,reference_price_near_price_diff,reference_price_ask_price_diff,reference_price_bid_price_diff,reference_price_wap_diff,far_price_near_price_diff,far_price_ask_price_diff,far_price_bid_price_diff,far_price_wap_diff,near_price_ask_price_diff,near_price_bid_price_diff,near_price_wap_diff,ask_price_bid_price_diff,ask_price_wap_diff,bid_price_wap_diff,prediction
0,450,0,6142558.25,1,0.999912,13264336.31,,,0.999912,7956.06,1.000079,7179.6,1.0,-1.1098385,24750,450_0_0,0.05130004241638621,-0.3669715439521613,,,-0.00016699999999991721,0.0,-8.799999999997699e-05,,,,,,,,0.00016699999999991721,7.899999999994023e-05,-8.799999999997699e-05,0.32942063
1,450,0,1310860.38,1,1.000074,1589558.48,,,0.999976,6732.66,1.000074,20404.0,1.0,18.559694,24750,450_0_1,-0.503795971943489,-0.09608891455077634,,,0.0,9.799999999993148e-05,7.399999999990747e-05,,,,,,,,9.799999999993148e-05,7.399999999990747e-05,-2.4000000000024002e-05,0.16415253
2,450,0,5410435.23,1,1.000712,4697298.14,,,0.99917,26308.73,1.001458,46296.7,1.0,4.609823,24750,450_0_2,-0.2752958008788048,0.07055361117029552,,,-0.0007459999999999134,0.0015420000000000433,0.0007120000000000459,,,,,,,,0.0022879999999999567,0.0014579999999999593,-0.0008299999999999974,0.32151535
3,450,0,11951807.4,1,0.999705,58138966.48,,,0.999351,80545.3,1.000008,990.15,1.0,-0.6300211,24750,450_0_3,0.9757124048496698,-0.6589620362742099,,,-0.0003030000000000532,0.00035399999999996545,-0.0002950000000000452,,,,,,,,0.0006570000000000187,8.000000000008e-06,-0.0006490000000000107,-0.3193301
4,450,0,7575764.95,1,0.999792,17294499.89,,,0.999792,1992.54,1.000454,4350.24,1.0,-4.580021,24750,450_0_4,-0.37171398030516584,-0.3907772998206641,,,-0.0006619999999999404,0.0,-0.00020799999999998597,,,,,,,,0.0006619999999999404,0.00045399999999995444,-0.00020799999999998597,0.49199566
5,450,0,938983.63,-1,1.000068,4192251.99,,,0.999697,12764.82,1.000192,8083.0,1.0,3.4201145,24750,450_0_5,0.22457120216885984,-0.6340126630162425,,,-0.000124000000000013,0.0003710000000000102,6.799999999995698e-05,,,,,,,,0.0004950000000000232,0.00019199999999996997,-0.0003030000000000532,0.43111035
6,450,0,0.0,0,0.999446,9121870.29,,,0.998879,144361.0,1.000014,1762.5,1.0,3.1399727,24750,450_0_6,0.9758765701615414,-1.0,,,-0.0005680000000000129,0.0005669999999999842,-0.0005540000000000544,,,,,,,,0.0011349999999999971,1.399999999995849e-05,-0.0011210000000000386,-0.4310138
7,450,0,45404574.94,1,0.999476,56495334.23,,,0.99951,112608.24,1.000261,59943.0,1.0,-3.2997131,24750,450_0_7,0.30521507698235034,-0.10883973676067998,,,-0.0007850000000000357,-3.399999999997849e-05,-0.0005239999999999689,,,,,,,,0.0007510000000000572,0.00026100000000006673,-0.0004899999999999904,0.31994355
8,450,0,18621607.88,1,0.999766,41361268.81,,,0.999022,136115.63,1.00022,30593.2,1.0,3.6203861,24750,450_0_8,0.6329744501236078,-0.37910254033866686,,,-0.00045400000000006546,0.0007440000000000779,-0.00023399999999995647,,,,,,,,0.0011980000000001434,0.000220000000000109,-0.0009780000000000344,-0.4634758
9,450,0,492282.92,-1,0.999901,4261933.29,,,0.999901,4401.81,1.00033,14679.0,1.0,0.46014786,24750,450_0_9,-0.5386139267672597,-0.792906801771222,,,-0.0004289999999999017,0.0,-9.899999999996023e-05,,,,,,,,0.0004289999999999017,0.00032999999999994145,-9.899999999996023e-05,0.46155033
