stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
0,450,0,6142558.25,1,0.999912,13264336.31,,,0.999912,7956.06,1.000079,7179.6,1.0,-1.1098385,24750,450_0_0
1,450,0,1310860.38,1,1.000074,1589558.48,,,0.999976,6732.66,1.000074,20404.0,1.0,18.559694,24750,450_0_1
2,450,0,5410435.23,1,1.000712,4697298.14,,,0.99917,26308.73,1.001458,46296.7,1.0,4.609823,24750,450_0_2
3,450,0,11951807.4,1,0.999705,58138966.48,,,0.999351,80545.3,1.000008,990.15,1.0,-0.6300211,24750,450_0_3
4,450,0,7575764.95,1,0.999792,17294499.89,,,0.999792,1992.54,1.000454,4350.24,1.0,-4.580021,24750,450_0_4
5,450,0,938983.63,-1,1.000068,4192251.99,,,0.999697,12764.82,1.000192,8083.0,1.0,3.4201145,24750,450_0_5
6,450,0,0.0,0,0.999446,9121870.29,,,0.998879,144361.0,1.000014,1762.5,1.0,3.1399727,24750,450_0_6
7,450,0,45404574.94,1,0.999476,56495334.23,,,0.99951,112608.24,1.000261,59943.0,1.0,-3.2997131,24750,450_0_7
8,450,0,18621607.88,1,0.999766,41361268.81,,,0.999022,136115.63,1.00022,30593.2,1.0,3.6203861,24750,450_0_8
9,450,0,492282.92,-1,0.999901,4261933.29,,,0.999901,4401.81,1.00033,14679.0,1.0,0.46014786,24750,450_0_9
10,450,0,2577532.84,-1,0.999701,4905165.61,,,0.999701,35831.29,1.000063,7511.28,1.0,-2.8902292,24750,450_0_10
11,450,0,1297373.52,-1,0.999626,2644110.16,,,0.999959,6005.0,1.000792,115752.6,1.0,4.0900707,24750,450_0_11
12,450,0,18869692.25,1,0.999961,54017549.33,,,0.999649,5155.68,1.000764,11220.5,1.0,-8.209944,24750,450_0_12
13,450,0,13943389.46,1,0.999899,15423498.2,,,0.999899,1982.0,1.000504,9916.0,1.0,-9.469986,24750,450_0_13
14,450,0,22559566.99,1,1.000908,67297532.28,,,0.999825,3241.89,1.001241,23086.08,1.0,-1.9598007,24750,450_0_14
15,450,0,9758502.53,1,1.000426,11707045.42,,,0.999979,223.94,1.001051,11209.0,1.0,19.780397,24750,450_0_15
16,450,0,861015.75,-1,0.999224,4456099.72,,,0.998939,62975.25,1.000009,560.38,1.0,-2.6500225,24750,450_0_16
17,450,0,41733696.01,1,0.999716,42492342.5,,,0.999856,4283.1,1.001443,42899.0,1.0,3.1495094,24750,450_0_17
18,450,0,691169.23,-1,0.99969,1763015.34,,,0.99969,7179.0,1.000108,2489.76,1.0,16.44969,24750,450_0_18
19,450,0,0.0,0,0.999686,4662804.6,,,0.999686,8905.09,1.000741,21053.37,1.0,7.7199936,24750,450_0_19
20,450,0,3978352.7,1,0.99943,8673188.41,,,0.998845,51228.0,1.000092,4103.36,1.0,-8.069873,24750,450_0_20
21,450,0,1090534.89,-1,0.999405,1174761.61,,,0.999405,16746.0,1.0003,8436.37,1.0,0.6699562,24750,450_0_21
